biz_category|mapped_item
American (Traditional)|cuisine
Argentine|cuisine
Arts & Entertainment|exclude
Asian Fusion|cuisine
Australian|cuisine
Austrian|cuisine
Bagels|food
Bakeries|place
Barbeque|food
Bars|place
Beach Bars|place
Beer Bar|place
Beer, Wine & Spirits|food
Belgian|cuisine
Bikes|exclude
Bistros|place
Brasseries|place
Brazilian|cuisine
Breakfast & Brunch|food
Breweries|place
British|cuisine
Bubble Tea|food
Buffets|food
Burgers|food
Burmese|cuisine
Butcher|exclude
Cafes|place
Cambodian|cuisine
Cantonese|cuisine
Caribbean|cuisine
Caterers|exclude
Chicken Shop|place
Chicken Wings|food
Chinese|cuisine
Chocolatiers & Shops|place
Cocktail Bars|place
Coffee & Tea|food
Coffee Roasteries|place
Congee|food
Convenience Stores|exclude
Creperies|food
Cupcakes|food
Dance Clubs|exclude
Delicatessen|place
Delis|place
Desserts|food
Dim Sum|food
Diners|exclude
Dive Bars|place
Do-It-Yourself Food|food
Donuts|food
Farmers Market|exclude
Fast Food|food
Festivals|exclude
Filipino|cuisine
Fish & Chips|food
Fondue|food
Food|food
Food Court|place
Food Delivery Services|exclude
Food Stands|food
French|cuisine
Fruits & Veggies|food
Furniture Stores|exclude
Gastropubs|place
Gay Bars|place
German|cuisine
Gluten-Free|food
Golf|exclude
Greek|cuisine
Grocery|exclude
Hainan|cuisine
Halal|food
Hardware Stores|exclude
Hawaiian|cuisine
Hawker Centre|place
Health Markets|place
Henghwa|exclude
Himalayan/Nepalese|cuisine
Hokkien|cuisine
Home Decor|exclude
Hot Dogs|food
Hot Pot|food
Hotels|exclude
Ice Cream & Frozen Yogurt|food
Imported Food|food
Indian|cuisine
Indonesian|cuisine
International|cuisine
Irish|cuisine
Irish Pub|place
Italian|cuisine
Izakaya|place
Japanese|cuisine
Japanese Curry|food
Juice Bars & Smoothies|food
Karaoke|exclude
Kebab|food
Kitchen & Bath|exclude
Kopitiam|place
Korean|cuisine
Landmarks & Historical Buildings|exclude
Latin American|cuisine
Lebanese|cuisine
Live/Raw Food|food
Local Flavor|food
Lounges|place
Malaysian|cuisine
Meat Shops|place
Mediterranean|cuisine
Mexican|cuisine
Middle Eastern|cuisine
Modern European|cuisine
Mongolian|cuisine
Moroccan|cuisine
Museums|exclude
Music Venues|exclude
Musicians|exclude
Nail Salons|exclude
Nasi Lemak|food
Noodles|food
Organic Stores|place
Pakistani|cuisine
Patisserie/Cake Shop|place
Performing Arts|exclude
Persian/Iranian|cuisine
Pet Adoption|exclude
Pets|exclude
Pizza|food
Playgrounds|place
Pop-Up Restaurants|place
Portuguese|cuisine
Pubs|place
Ramen|food
Restaurants|place
Russian|cuisine
Salad|food
Sandwiches|food
Scandinavian|cuisine
Seafood|food
Seafood Markets|place
Shanghainese|cuisine
Shopping|exclude
Shopping Centers|exclude
Singaporean|cuisine
Soup|food
Spanish|cuisine
Specialty Food|food
Sports Bars|place
Steakhouses|place
Street Vendors|exclude
Sushi Bars|place
Szechuan|cuisine
Taiwanese|cuisine
Tapas/Small Plates|food
Tea Rooms|place
Tempura|food
Teochew|cuisine
Teppanyaki|food
Tex-Mex|exclude
Thai|cuisine
Tobacco Shops|exclude
Tonkatsu|food
Travel Services|exclude
Turkish|cuisine
Vegan|cuisine
Vegetarian|cuisine
Venues & Event Spaces|exclude
Vietnamese|cuisine
Waffles|food
Western Style Japanese Food|cuisine
Wine Bars|place
Wineries|place
Women's Clothing|exclude
Yakitori|food
